step,observe/obs_s_theta_mean_mean,episode/success_rate,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_delta_s_mean_mean,observe/obs_step_entropy_mean_mean,val/success_rate
135,1.7409651761613265,0.5625,2.988613072291628,3.834489160122757,-0.3489211404793133,0.8340759287781339,
136,1.7509194238112498,0.765625,3.1738085419727637,3.977472815465612,-0.3460776893292399,0.7798754117326238,
137,1.7965460508958335,0.7734375,3.1985277941672723,4.0329238764137365,-0.3488853950538039,0.7169377590485883,
138,1.7729449393415664,0.6015625,2.9562284351093693,3.8172980038914823,-0.3297414122530149,0.8357059012967512,
139,1.7874537144811489,0.765625,3.0116855130860736,3.886723920625324,-0.3505939343043112,0.6461286338211872,
140,2.040924101982242,0.640625,3.102965921960556,3.940857561502176,-0.3963761173007934,0.830717544793655,0.78125
141,1.7048557559603388,0.7890625,2.948850953374252,3.8243874739079424,-0.3114092339250938,0.6931277779243222,
142,1.7466524028385222,0.8515625,3.00657784785144,3.9885387119837103,-0.3048862637330136,0.6396477063806743,
143,1.8329393530349911,0.8359375,2.9590469298259863,3.9260557895018295,-0.3465261243749761,0.5289554267412975,
144,1.776210865588667,0.890625,3.077754969967322,3.993333180874793,-0.3102704844177678,0.502597295712298,
145,1.7689403638770511,0.875,2.893209301843308,3.829375943518244,-0.3193201941577942,0.5367416814221088,
146,1.8944116002204865,0.765625,3.03277831124036,3.918064304817976,-0.3577656259650386,0.856828003315472,
147,1.9558033554461844,0.8125,2.9761085835052654,3.873690539808013,-0.3591096977696432,0.7073812379325546,
148,1.9273821180385864,0.578125,3.2218126234292868,3.998871819014312,-0.3568474646527008,0.961529619127532,
149,1.7814389067330672,0.7890625,3.1689369534592102,3.997052621477368,-0.3218465507806995,0.7822398189828991,
150,2.0154557314773096,0.7734375,3.302882956166286,4.125960166294438,-0.3521152331516402,0.907489663313754,0.8828125
